Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Metrics/TestEpRet,Metrics/TestEpCost,Metrics/TestEpLen,Train/Epoch,Train/Entropy,Train/KL,Train/StopIter,Train/PolicyRatio,Train/PolicyRatio/Min,Train/PolicyRatio/Max,Train/PolicyRatio/Std,Train/LR,Train/PolicyStd,TotalEnvSteps,Loss/Loss_pi,Loss/Loss_pi/Delta,Value/Adv,Loss/Loss_reward_critic,Loss/Loss_reward_critic/Delta,Value/reward,Loss/Loss_cost_critic,Loss/Loss_cost_critic/Delta,Value/cost,Time/Total,Time/Rollout,Time/Update,Time/Epoch,Time/FPS,Metrics/LagrangeMultiplier,Metrics/LagrangeMultiplier/Min,Metrics/LagrangeMultiplier/Max,Metrics/LagrangeMultiplier/Std
-1031.0943603515625,1309.2918701171875,1653.0,-732.8070068359375,1084.375,1653.0,0.0,1.4174708127975464,0.008470159955322742,40.0,1.0061120986938477,1.0061120986938477,1.0061120986938477,0.0027373037301003933,0.0002997000119648874,0.9985595941543579,1653.0,-0.028403932228684425,-0.028403932228684425,-0.007488677743822336,569.1110229492188,569.1110229492188,-0.10462869703769684,912.7169189453125,912.7169189453125,-0.07105682045221329,1.53523850440979,0.6753442287445068,0.8597466945648193,1.5351107120513916,1076.79541015625,0.03599999472498894,0.03599999472498894,0.03599999472498894,0.0
-1003.6102294921875,1274.9453125,1653.0,-719.2076416015625,1056.668701171875,1653.0,1.0,1.412608027458191,0.00794006884098053,40.0,0.9955670237541199,0.9955670237541199,0.9955670237541199,0.002877201419323683,0.00029940000968053937,0.993824303150177,3306.0,-0.029641490429639816,-0.001237558200955391,-0.03686925023794174,526.9044799804688,-42.20654296875,-3.0627269744873047,825.1447143554688,-87.57220458984375,2.7009999752044678,3.5128326416015625,0.6722350120544434,0.763512134552002,1.4357657432556152,1151.30224609375,0.07097265124320984,0.07097265124320984,0.07097265124320984,0.0
-995.7052612304688,1238.9000244140625,1653.0,-703.03466796875,1043.2855224609375,1653.0,2.0,1.4113624095916748,0.00817747600376606,40.0,0.999256432056427,0.999256432056427,0.999256432056427,0.0027423291467130184,0.00029910000739619136,0.9928018450737,4959.0,-0.030399760231375694,-0.000758269801735878,0.011614232324063778,509.19732666015625,-17.7071533203125,-4.936092853546143,688.1255493164062,-137.0191650390625,4.775700092315674,5.497047424316406,0.6523392200469971,0.7871553897857666,1.4395110607147217,1148.3067626953125,0.10589660704135895,0.10589660704135895,0.10589660704135895,0.0
-990.3466796875,1233.387451171875,1653.0,-687.3580932617188,1026.869873046875,1653.0,3.0,1.4103362560272217,0.011209259741008282,40.0,0.9961797595024109,0.9961797595024109,0.9961797595024109,0.0036573719698935747,0.00029880000511184335,0.9918572306632996,6612.0,-0.036324672400951385,-0.005924912169575691,0.03798317909240723,488.4366149902344,-20.760711669921875,-6.5528059005737305,725.26806640625,37.14251708984375,6.721662998199463,7.561916351318359,0.6534123420715332,0.8672385215759277,1.520669937133789,1087.0213623046875,0.14079254865646362,0.14079254865646362,0.14079254865646362,0.0
-996.1072998046875,1238.155517578125,1653.0,-673.894287109375,1012.3347778320312,1653.0,4.0,1.4036242961883545,0.009791758842766285,40.0,1.0012913942337036,1.0012913942337036,1.0012913942337036,0.0034487061202526093,0.00029850000282749534,0.9854565858840942,8265.0,-0.03548780828714371,0.0008368641138076782,-0.00464806379750371,514.3558349609375,25.919219970703125,-7.967652320861816,777.2434692382812,51.97540283203125,8.461642265319824,9.551870346069336,0.667090654373169,0.7781198024749756,1.4452288150787354,1143.763671875,0.17568032443523407,0.17568032443523407,0.17568032443523407,0.0
-979.9861450195312,1221.1204833984375,1653.0,-657.8680419921875,957.8859252929688,1653.0,5.0,1.3932604789733887,0.011646272614598274,40.0,1.0022971630096436,1.0022971630096436,1.0022971630096436,0.0037842486053705215,0.0002982000005431473,0.9756399989128113,9918.0,-0.0405813604593277,-0.0050935521721839905,-0.016520462930202484,380.23577880859375,-134.12005615234375,-10.575873374938965,598.8790283203125,-178.36444091796875,10.660357475280762,11.620172500610352,0.6514482498168945,0.8694851398468018,1.5209524631500244,1086.819091796875,0.2105400115251541,0.2105400115251541,0.2105400115251541,0.0
-962.6920166015625,1205.4415283203125,1653.0,-637.3600463867188,908.8897705078125,1653.0,6.0,1.3824751377105713,0.011379874311387539,40.0,0.994981586933136,0.994981586933136,0.994981586933136,0.0036838031373918056,0.0002978999982587993,0.9653530120849609,11571.0,-0.03744589537382126,0.003135465085506439,0.023650841787457466,338.22247314453125,-42.0133056640625,-12.828628540039062,550.2735595703125,-48.60546875,12.549707412719727,13.608442306518555,0.6600444316864014,0.790032148361206,1.4500939846038818,1139.92626953125,0.24535828828811646,0.24535828828811646,0.24535828828811646,0.0
-948.7722778320312,1191.986328125,1653.0,-612.5650024414062,858.0374145507812,1653.0,7.0,1.377703070640564,0.011170119047164917,40.0,1.0004942417144775,1.0004942417144775,1.0004942417144775,0.0030705686658620834,0.0002975999959744513,0.9608556032180786,13224.0,-0.045008834451436996,-0.007562939077615738,0.018872056156396866,327.106201171875,-11.11627197265625,-14.552492141723633,515.31396484375,-34.9595947265625,14.252327919006348,15.667109489440918,0.6565861701965332,0.8416497707366943,1.4982669353485107,1103.2750244140625,0.2801271677017212,0.2801271677017212,0.2801271677017212,0.0
-951.7780151367188,1181.66796875,1653.0,-592.5121459960938,815.9442749023438,1653.0,8.0,1.3674194812774658,0.011313010938465595,40.0,0.999306857585907,0.999306857585907,0.999306857585907,0.002922230865806341,0.0002972999936901033,0.9512444734573364,14877.0,-0.03825151547789574,0.00675731897354126,0.008160755969583988,402.31024169921875,75.20404052734375,-16.304325103759766,514.4315185546875,-0.8824462890625,15.91893482208252,17.61544418334961,0.6493706703186035,0.7681219577789307,1.4175124168395996,1166.1279296875,0.314844012260437,0.314844012260437,0.314844012260437,0.0
-946.0623168945312,1168.721923828125,1653.0,-572.81298828125,777.8651733398438,1653.0,9.0,1.3539221286773682,0.011991756036877632,40.0,1.0004808902740479,1.0004808902740479,1.0004808902740479,0.0040865433402359486,0.0002969999914057553,0.9387785196304321,16530.0,-0.047804612666368484,-0.009553097188472748,0.00420681806281209,337.6454772949219,-64.66476440429688,-18.013179779052734,464.12017822265625,-50.31134033203125,17.593034744262695,19.58600425720215,0.6568479537963867,0.7741866111755371,1.43105149269104,1155.0948486328125,0.34950098395347595,0.34950098395347595,0.34950098395347595,0.0
