Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Metrics/TestEpRet,Metrics/TestEpCost,Metrics/TestEpLen,Train/Epoch,Train/LR,TotalEnvSteps,Loss/Loss_pi,Loss/Loss_pi/Delta,Loss/Loss_reward_critic,Loss/Loss_reward_critic/Delta,Value/reward_critic,Time/Total,Time/Rollout,Time/Update,Time/Evaluate,Time/Epoch,Time/FPS,Value/alpha
-921.133056640625,767.937255859375,1653.0,-672.5630493164062,904.8728637695312,1653.0,0.0,0.0003000000142492354,1653.0,-0.48486220836639404,-0.48486220836639404,0.12546665966510773,0.12546665966510773,-0.15815335512161255,3.8167378902435303,0.6483569145202637,2.7318930625915527,0.4295945167541504,3.8166298866271973,433.1046447753906,0.19999997317790985
-843.6329345703125,638.1730346679688,1653.0,-681.5489501953125,895.40283203125,1653.0,1.0,0.0003000000142492354,3306.0,-0.3887277841567993,0.09613442420959473,0.11787330359220505,-0.0075933560729026794,-0.26798173785209656,7.614871025085449,0.6447079181671143,2.723160743713379,0.4204847812652588,3.7949142456054688,435.5830078125,0.19999998807907104
-744.284423828125,544.256591796875,1653.0,-652.0343017578125,808.202880859375,1653.0,2.0,0.0003000000142492354,4959.0,-1.192597508430481,-0.8038697242736816,0.12109089642763138,0.0032175928354263306,0.5650750994682312,11.4901704788208,0.6492061614990234,2.771207571029663,0.445314884185791,3.8724563121795654,426.8608703613281,0.19999997317790985
-712.0980834960938,486.66925048828125,1653.0,-643.42041015625,785.6744995117188,1653.0,3.0,0.0003000000142492354,6612.0,-1.810168743133545,-0.617571234703064,0.1307140588760376,0.00962316244840622,1.1992225646972656,15.257286071777344,0.6337985992431641,2.7038064002990723,0.4197962284088135,3.763873338699341,439.1752624511719,0.19999998807907104
-654.3192749023438,433.4288635253906,1653.0,-630.4998168945312,764.647216796875,1653.0,4.0,0.0003000000142492354,8265.0,-2.7268497943878174,-0.9166810512542725,0.13725030422210693,0.006536245346069336,2.1385090351104736,19.03800392150879,0.631197452545166,2.7217562198638916,0.41831445693969727,3.777941942214966,437.5398254394531,0.19999997317790985
-630.1522827148438,406.2698974609375,1653.0,-617.273193359375,736.6395874023438,1653.0,5.0,0.0003000000142492354,9918.0,-3.504784107208252,-0.7779343128204346,0.14865170419216156,0.011401399970054626,2.920466661453247,22.85141372680664,0.6371722221374512,2.738879919052124,0.42783641815185547,3.810615301132202,433.78826904296875,0.19999998807907104
-602.87548828125,375.7307434082031,1653.0,-603.2435913085938,704.1868286132812,1653.0,6.0,0.0003000000142492354,11571.0,-4.364755153656006,-0.8599710464477539,0.1597977876663208,0.01114608347415924,3.7955081462860107,26.651670455932617,0.633760929107666,2.737015962600708,0.4197261333465576,3.797055244445801,435.3373718261719,0.19999997317790985
-581.4590454101562,347.978515625,1653.0,-603.7919311523438,702.4026489257812,1653.0,7.0,0.0003000000142492354,13224.0,-5.285335063934326,-0.9205799102783203,0.16643907129764557,0.006641283631324768,4.7183661460876465,30.480878829956055,0.6375067234039307,2.7604358196258545,0.4214591979980469,3.82605242729187,432.03802490234375,0.19999998807907104
-572.257568359375,325.555419921875,1653.0,-602.316162109375,693.0468139648438,1653.0,8.0,0.0003000000142492354,14877.0,-6.032219409942627,-0.7468843460083008,0.18021956086158752,0.013780489563941956,5.472362041473389,34.31959533691406,0.6374068260192871,2.7584457397460938,0.4334859848022461,3.835935354232788,430.9248962402344,0.19999997317790985
-561.3407592773438,317.0932312011719,1653.0,-604.357177734375,685.2031860351562,1653.0,9.0,0.0003000000142492354,16530.0,-6.909207820892334,-0.876988410949707,0.1857745498418808,0.005554988980293274,6.357568264007568,38.207794189453125,0.6510019302368164,2.808267116546631,0.41938185691833496,3.8853812217712402,425.44091796875,0.19999998807907104
-551.1627197265625,302.385986328125,1653.0,-607.6138305664062,681.2466430664062,1653.0,10.0,0.0003000000142492354,18183.0,-7.723970890045166,-0.814763069152832,0.19540727138519287,0.009632721543312073,7.17230749130249,42.004173278808594,0.6303262710571289,2.7308623790740967,0.4256296157836914,3.7935502529144287,435.7396240234375,0.19999997317790985
-542.4142456054688,291.22760009765625,1653.0,-611.29833984375,684.1435546875,1653.0,11.0,0.0003000000142492354,19836.0,-8.589545249938965,-0.8655743598937988,0.20415982604026794,0.008752554655075073,8.041180610656738,45.887657165527344,0.6439125537872314,2.806928873062134,0.4231908321380615,3.880688190460205,425.9554138183594,0.19999998807907104
