Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Metrics/TestEpRet,Metrics/TestEpCost,Metrics/TestEpLen,Train/Epoch,Train/Entropy,Train/KL,Train/StopIter,Train/PolicyRatio,Train/PolicyRatio/Min,Train/PolicyRatio/Max,Train/PolicyRatio/Std,Train/LR,Train/PolicyStd,TotalEnvSteps,Loss/Loss_pi,Loss/Loss_pi/Delta,Value/Adv,Loss/Loss_reward_critic,Loss/Loss_reward_critic/Delta,Value/reward,Time/Total,Time/Rollout,Time/Update,Time/Epoch,Time/FPS
-1270.358642578125,946.9463500976562,1653.0,-400.9913635253906,205.0775909423828,1653.0,0.0,1.417141318321228,0.008390035480260849,10.0,1.0010508298873901,1.0010508298873901,1.0010508298873901,0.007537065073847771,0.0002997000119648874,0.9982097148895264,1653.0,-0.022334976121783257,-0.022334976121783257,-0.03314143046736717,831.1422729492188,831.1422729492188,-0.022541869431734085,0.861220121383667,0.6588900089263916,0.20216131210327148,0.861072301864624,1919.699951171875
-1262.540771484375,909.0061645507812,1653.0,-414.5106201171875,239.69125366210938,1653.0,1.0,1.4145249128341675,0.005289686843752861,10.0,1.0003719329833984,1.0003719329833984,1.0003719329833984,0.006801984738558531,0.00029940000968053937,0.9956132173538208,3306.0,-0.02123819850385189,0.001096777617931366,-0.0003826271858997643,821.4880981445312,-9.6541748046875,-3.673585891723633,2.3569555282592773,0.6666152477264404,0.277874231338501,0.9445092678070068,1750.1156005859375
-1255.0301513671875,901.6828002929688,1653.0,-419.9067687988281,248.41510009765625,1653.0,2.0,1.4136934280395508,0.006942417472600937,10.0,1.0020116567611694,1.0020116567611694,1.0020116567611694,0.006828898098319769,0.00029910000739619136,0.9948080778121948,4959.0,-0.02228458970785141,-0.0010463912039995193,-0.04324280470609665,785.2314453125,-36.25665283203125,-5.94954776763916,3.7546279430389404,0.6744387149810791,0.19096732139587402,0.8654239177703857,1910.047119140625
-1235.4500732421875,881.40185546875,1653.0,-466.2122802734375,285.783203125,1653.0,3.0,1.4114021062850952,0.010725240223109722,10.0,1.0029305219650269,1.0029305219650269,1.0029305219650269,0.007098243571817875,0.00029880000511184335,0.9926041960716248,6612.0,-0.02623196318745613,-0.003947373479604721,0.028167737647891045,707.2176513671875,-78.0137939453125,-7.749743461608887,5.137722015380859,0.6683192253112793,0.19313883781433105,0.8614766597747803,1918.798828125
-1241.0625,871.8947143554688,1653.0,-516.3455810546875,325.48724365234375,1653.0,4.0,1.4085891246795654,0.006883134134113789,10.0,0.9993537068367004,0.9993537068367004,0.9993537068367004,0.008809976279735565,0.00029850000282749534,0.9898873567581177,8265.0,-0.02289024367928505,0.0033417195081710815,0.08514135330915451,800.3430786132812,93.12542724609375,-9.317082405090332,6.563708305358887,0.660285472869873,0.2061290740966797,0.8664312362670898,1907.8265380859375
-1253.223388671875,870.8501586914062,1653.0,-536.1117553710938,340.6333312988281,1653.0,5.0,1.409233808517456,0.006443446036428213,10.0,1.0055906772613525,1.0055906772613525,1.0055906772613525,0.007241236977279186,0.0002982000005431473,0.990574300289154,9918.0,-0.022921327501535416,-3.108382225036621e-05,-0.012848006561398506,856.9746704101562,56.631591796875,-10.819290161132812,7.947963714599609,0.651029109954834,0.19024157524108887,0.8412878513336182,1964.8453369140625
-1241.0042724609375,861.9161987304688,1653.0,-551.6930541992188,351.7188415527344,1653.0,6.0,1.408072590827942,0.006640606559813023,10.0,1.0013914108276367,1.0013914108276367,1.0013914108276367,0.0072867353446781635,0.0002978999982587993,0.9894928932189941,11571.0,-0.027502302080392838,-0.004580974578857422,0.07403922080993652,643.8723754882812,-213.102294921875,-12.335410118103027,9.434183120727539,0.6429858207702637,0.30284929275512695,0.9458529949188232,1747.6292724609375
-1235.5811767578125,848.0699462890625,1653.0,-559.502197265625,357.1273498535156,1653.0,7.0,1.4061694145202637,0.008043678477406502,10.0,1.0011768341064453,1.0011768341064453,1.0011768341064453,0.007740315981209278,0.0002975999959744513,0.9877433776855469,13224.0,-0.02620944380760193,0.0012928582727909088,0.08255404978990555,694.335693359375,50.46331787109375,-13.763250350952148,10.847969055175781,0.6907849311828613,0.1900629997253418,0.8808689117431641,1876.5572509765625
-1228.99072265625,838.9140014648438,1653.0,-559.2159423828125,357.5064697265625,1653.0,8.0,1.4050633907318115,0.00694934232160449,10.0,0.9989943504333496,0.9989943504333496,0.9989943504333496,0.007072111126035452,0.0002972999936901033,0.9866989254951477,14877.0,-0.026487650349736214,-0.000278206542134285,-0.024309324100613594,641.4573974609375,-52.8782958984375,-15.152040481567383,12.252049446105957,0.6362297534942627,0.22562098503112793,0.8618690967559814,1917.92578125
-1216.9215087890625,831.8797607421875,1653.0,-559.8390502929688,356.96649169921875,1653.0,9.0,1.405803918838501,0.008399480022490025,10.0,0.9967452883720398,0.9967452883720398,0.9967452883720398,0.007783985696732998,0.0002969999914057553,0.987501323223114,16530.0,-0.025353459641337395,0.001134190708398819,0.18255282938480377,559.7081298828125,-81.749267578125,-16.59212303161621,13.609161376953125,0.6382174491882324,0.19121217727661133,0.8294486999511719,1992.89111328125
