Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Metrics/TestEpRet,Metrics/TestEpCost,Metrics/TestEpLen,Train/Epoch,Train/LR,TotalEnvSteps,Loss/Loss_pi,Loss/Loss_pi/Delta,Loss/Loss_reward_critic,Loss/Loss_reward_critic/Delta,Value/reward_critic,Time/Total,Time/Rollout,Time/Update,Time/Evaluate,Time/Epoch,Time/FPS
-1239.4527587890625,923.3236694335938,1653.0,-507.55426025390625,419.108154296875,1653.0,0.0,0.0003000000142492354,1653.0,3.182742118835449,3.182742118835449,0.19084426760673523,0.19084426760673523,-3.5419275760650635,3.319857120513916,0.6349897384643555,2.340348958969116,0.33774662017822266,3.319735288619995,497.9313049316406
-1085.6334228515625,965.53857421875,1653.0,-496.840087890625,412.50775146484375,1653.0,1.0,0.0003000000142492354,3306.0,4.420332908630371,1.2375907897949219,0.18539606034755707,-0.005448207259178162,-4.885827541351318,6.755495548248291,0.6363034248352051,2.4248108863830566,0.3642711639404297,3.4323248863220215,481.59783935546875
-1004.9950561523438,934.550537109375,1653.0,-480.9118957519531,400.669677734375,1653.0,2.0,0.0003000000142492354,4959.0,5.622157573699951,1.20182466506958,0.24189972877502441,0.056503668427467346,-6.080426216125488,10.196292877197266,0.6345698833465576,2.4125256538391113,0.3799738883972168,3.43430757522583,481.31976318359375
-922.84033203125,859.9456176757812,1653.0,-477.72772216796875,399.9762268066406,1653.0,3.0,0.0003000000142492354,6612.0,6.524953842163086,0.9027962684631348,0.28846853971481323,0.04656881093978882,-6.995431900024414,13.691337585449219,0.6479971408843994,2.5075290203094482,0.3289759159088135,3.491736888885498,473.4034118652344
-908.9269409179688,870.78173828125,1653.0,-474.54620361328125,393.77215576171875,1653.0,4.0,0.0003000000142492354,8265.0,7.987282752990723,1.4623289108276367,0.3043954074382782,0.015926867723464966,-8.38070297241211,17.07697296142578,0.6278023719787598,2.408031463623047,0.33965253829956055,3.3824548721313477,488.6984558105469
-840.1599731445312,788.0408325195312,1653.0,-464.7629089355469,380.6152648925781,1653.0,5.0,0.0003000000142492354,9918.0,9.124776840209961,1.1374940872192383,0.36901289224624634,0.06461748480796814,-9.649648666381836,20.48152732849121,0.6242706775665283,2.4237940311431885,0.34537243843078613,3.4005162715911865,486.1026916503906
-825.3719482421875,780.6262817382812,1653.0,-439.05804443359375,344.9203796386719,1653.0,6.0,0.0003000000142492354,11571.0,10.16250228881836,1.0377254486083984,0.3399357199668884,-0.02907717227935791,-10.590575218200684,23.886276245117188,0.628075361251831,2.415883779525757,0.35039353370666504,3.401472568511963,485.966064453125
-765.125244140625,701.6863403320312,1653.0,-415.40008544921875,315.385986328125,1653.0,7.0,0.0003000000142492354,13224.0,11.101405143737793,0.9389028549194336,0.35804301500320435,0.018107295036315918,-11.6171236038208,27.261804580688477,0.619051456451416,2.405991315841675,0.3401803970336914,3.37221097946167,490.1828918457031
-727.7731323242188,653.5462036132812,1653.0,-400.9983215332031,298.0505676269531,1653.0,8.0,0.0003000000142492354,14877.0,11.715920448303223,0.6145153045654297,0.3744965195655823,0.01645350456237793,-12.281646728515625,30.61653709411621,0.6192357540130615,2.405089855194092,0.32036542892456055,3.3514811992645264,493.21478271484375
-721.6678466796875,634.3206787109375,1653.0,-388.56121826171875,282.38531494140625,1653.0,9.0,0.0003000000142492354,16530.0,12.564024925231934,0.8481044769287109,0.32931244373321533,-0.04518407583236694,-12.99657154083252,33.99777603149414,0.6194281578063965,2.4161436557769775,0.33559489250183105,3.3780410289764404,489.3368835449219
